id,unique_id,song_id,path,title,artist,album,genre,lyrics,isrc,playlists,length,amplify,fade_in,fade_out,cue_in,cue_out,cross_start_next
8406,4a298d369232d168d93b6f5a,4601ee469c8a50cc4aec107fabc0a0cc,jennifer_lopez_-_aint_it_funny_(official_video).mp3,"Ain't It Funny (Official Video)","Jennifer Lopez",,,,,default,257.48898,,,,,,
8407,bc28d4d9290130f198656447,806eec4da2441fc5235bbbffd26e29f4,jennifer_lopez_-_baila_(from_feelin_so_good).mp3,"Baila (from Feelin' so Good)","Jennifer Lopez",,,,,default,182.857143,,,,,,
8408,1cb6a71218e9c7b0e3e3411d,5a2d4d3252cc6d81ee60d7a1aec1b52e,jennifer_lopez_-_dance_again_(official_video)_ft._pitbull.mp3,"Dance Again (Official Video) ft. Pitbull","Jennifer Lopez",,,,,default,266.605714,,,,,,
8409,b77f3fb48216c5411a8be57a,7293a773d15f60d75e5f0bb57d1495b8,jennifer_lopez_-_goin_in_ft._flo_rida.mp3,"Goin' In ft. Flo Rida","Jennifer Lopez",,,,,default,248.607347,,,,,,
8410,d5e190291fc9ee5b51aeff51,d665778a05c50e208483218a3e4afdad,jennifer_lopez_-_if_you_had_my_love_(official_video).mp3,"If You Had My Love (Official Video)","Jennifer Lopez",,,,,default,329.116735,,,,,,
8411,9afedb7b37e99f50a9ab8669,0f17b04d1f54fc9bd9714d4bbefb24f1,jennifer_lopez_-_jenny_from_the_block_(official_video).mp3,"Jenny from the Block (Official Video)","Jennifer Lopez",,,,,default,244.37551,,,,,,
8412,de7a7e2ae78d8245068553db,3db84c101c792ed1f64996d45224e2a4,jennifer_lopez_-_live_it_up_ft._pitbull.mp3,"Live It Up ft. Pitbull","Jennifer Lopez",,,,,default,270.393469,,,,,,
8413,95ebf922dbd0a5412bf38a30,e6449a1964b59b01a527af3d74a2d11f,jennifer_lopez_-_lets_get_loud_(official_video).mp3,"Let's Get Loud (Official Video)","Jennifer Lopez",,,,,default,204.930612,,,,,,
8414,7c693ed065307ebb3284e563,f825c6c7c3ee6b8f14782f7b1a2f339e,jennifer_lopez_-_papi_(official_video).mp3,"Papi (Official Video)","Jennifer Lopez",,,,,default,325.851429,,,,,,
8415,7790440f5218a088718cadcd,13738dbd64330963728c17d75dd9cd22,jennifer_lopez_-_on_the_floor_ft._pitbull.mp3,"On The Floor ft. Pitbull","Jennifer Lopez",,,,,default,266.475102,,,,,,
8416,7d1a7c8466e49562e8960fc5,05d7a6d4d35923249291663771425711,jermaine_stewart_-_we_dont_have_to_take_our_clothes_off_(official_music_video).mp3,"We Don't Have To Take Our Clothes Off (Official Music Video)","Jermaine Stewart",,,,,default,262.530612,,,,,,
8417,800a70b9599a7c8b03ce0564,9338077b3ef0a3e5202e1fd3affd68c8,jerome_-_stars_(official_video_hd).mp3,"Stars (Official Video HD)",Jerome,,,,,default,195.239184,,,,,,
8418,672cf03440913e2fe2eaff74,787c2abc41ddbe9c9fad35f7d25383fc,"jerry_rivera,_yandel_-_mira_(official_video).mp3","Mira (Official Video)","Jerry Rivera, Yandel",,,,,default,215.902041,,,,,,
8419,cb812f909efe76478d984561,2f1e113c4c3881f1ce620672c68407e3,jonas_blue_-_by_your_side_ft._raye_(official_video).mp3,"By Your Side ft. RAYE (Official Video)","Jonas Blue",,,,,default,204.617143,,,,,,
8420,d233cf020cb9289479089fc4,a3e0db2ec5d18ee5da6b7521672b2306,john_newman_-_love_me_again.mp3,"Love Me Again","John Newman",,,,,default,235.206531,,,,,,
8421,1035df9ae4ebe5fac380b510,41bfcfe2709f87db941fa7eea91ead0c,jonas_blue_-_mama_ft._william_singe_(official_video).mp3,"Mama ft. William Singe (Official Video)","Jonas Blue",,,,,default,183.562449,,,,,,
8422,a4b4f80adad6bf241a973d11,57cd18a669b7ac6b5bf50ae4e775e23e,joy_-_touch_by_touch_(extended_maxi_version).mp3,"Touch By Touch (Extended Maxi Version)",Joy,,,,,default,324.388571,,,,,,
8423,8b25f63e80023bb724bb26e4,06a2aedad40f4e7313e2125f8505eeb3,jonas_blue_-_rise_ft._jack__jack_(official_video).mp3,"Rise ft. Jack & Jack (Official Video)","Jonas Blue",,,,,default,218.906122,,,,,,
8424,c39a20b66d7f91da6bd0afc4,c177983b6bfe492bdbca891ef5e3b5fb,joy_touch_by_touch.mp3,"joy touch by touch",,,,,,default,195.73551,,,,,,
8425,1eb5dee8968c3197275ac617,10c456e18c6a3826c630f43824941a1d,julio_iglesias___moralito_.mp3,"JULIO IGLESIAS _ MORALITO ",,,,,,default,215.013878,,,,,,
8426,99607ae915b9456f9b004327,1373311054ecab04b28ad76e67036522,justin_bieber_-_baby_(official_music_video)_ft._ludacris.mp3,"Baby (Official Music Video) ft. Ludacris","Justin Bieber",,,,,default,219.141224,,,,,,
8427,0f27786d502805e817ea073e,6a027a897ef35eec6dad51b7b19f067e,justin_bieber_-_beauty_and_a_beat_ft._nicki_minaj_(official_music_video).mp3,"Beauty And A Beat ft. Nicki Minaj (Official Music Video)","Justin Bieber",,,,,default,293.01551,,,,,,
8428,e0c4d304a55b7c5a4b44a3ba,900b05d343f091148e315b58b6372d53,justin_bieber_-_somebody_to_love_remix_ft._usher_(official_music_video).mp3,"Somebody To Love Remix ft. Usher (Official Music Video)","Justin Bieber",,,,,default,218.383673,,,,,,
8429,e0d82553379183925591ec60,1f1d47cad9ef0b8cc331656d3276a650,justin_bieber_-_sorry_(purpose__-_the_movement).mp3,"Sorry (PURPOSE  - The Movement)","Justin Bieber",,,,,default,205.217959,,,,,,
8430,bb02bd2af342c6d341a4b255,b0c7786bec8d78fe69915cff4b4acd1b,k-391__alan_walker_-_ignite_(feat._julie_bergan__seungri).mp3,"Ignite (feat. Julie Bergan & Seungri)","K-391 & Alan Walker",,,,,default,229.459592,,,,,,
8431,01887a645a96f8ae7e79af59,cc06922c3d1eefac09eeb4b9a7882670,karol_g_-_mi_cama_(official_video).mp3,"Mi Cama (Official Video)","KAROL G",,,,,default,152.868571,,,,,,
8432,2a0419d96b9f59eaefa89210,a146fa65db60be392d6ac40c67b87024,k._da_cruz_-_love_is_lifting_me_higher.mp3,"Love Is Lifting Me Higher","K. Da Cruz",,,,,default,224.10449,,,,,,
8433,178b79b6f3ff333c6b9fb387,6c530931f1674954f19aa7a6c88bf2cb,katrina__the_waves_-_walking_on_sunshine_(official_music_video).mp3,"Walking On Sunshine (Official Music Video)","Katrina & The Waves",,,,,default,228.284082,,,,,,
8434,1a61e6c8e193cf5bba4bd04d,4720da6f94330ebe2a1e5df803108511,katerine_avgoustakis_-_treat_me_like_a_lady.mp3,"Treat Me Like A Lady","Katerine Avgoustakis",,,,,default,221.022041,,,,,,
8435,edf4c5764da81bb8ce49d64d,c80407a5b1cfe6548cf5001ec05f9e16,kate_ryan_-_désenchantée.mp3,Désenchantée,"Kate Ryan",,,,,default,218.592653,,,,,,
8436,f046932bb4b963eb1a9cc4c6,03964de27b826e2f9ca0ef622f314a7b,katy_perry_-_dark_horse_(official)_ft._juicy_j.mp3,"Dark Horse (Official) ft. Juicy J","Katy Perry",,,,,default,225.097143,,,,,,
8437,f82fa916c644252773fc0831,b35b17a163043ca88369dfde0ac45e57,katy_perry_-_swish_swish_(lyric_video_starring_gretchen)_ft._nicki_minaj.mp3,"Swish Swish (Lyric Video Starring Gretchen) ft. Nicki Minaj","Katy Perry",,,,,default,226.481633,,,,,,
